studentid	sectionid	grade
1	2202	B+
1	2201	A-
1	2207	A
1	2208	B
1	2211	A-
1	2212	D
2	4401	A-
2	4403	A-
2	4405	A
2	4406	F
3	3301	B+
3	3302	D
3	3310	A-
3	3312	D
3	3306	D
4	1101	C+
4	1103	C+
4	1108	A-
4	1110	A
4	1112	C
4	1113	C
5	4403	D
5	4407	C
6	3307	A-
6	3301	C+
6	3302	B+
7	1103	B+
7	1104	B
7	1105	C-
7	1106	B+
8	3303	B-
8	3304	B
9	1109	C
9	1111	B+
10	4408	C+
10	4406	B-
10	4409	B
11	1102	F
12	2202	B-
12	2201	C+
12	2203	A
12	2204	B-
12	2205	B
13	2210	A
14	3312	B+
15	1109	A-
15	1107	B+
15	1108	A
15	1111	B
15	1113	B-
15	1106	A
16	3309	B+
16	3312	A-
16	3311	A
17	4401	C+
17	4402	B-
17	4403	B
18	2209	F
18	2210	C-
18	2211	A
18	2208	C
19	4408	B-
20	3301	B+
20	3302	A
20	3310	B
20	3312	C+
20	3306	B
20	3307	D
