sectionid	facultyid	semestercode	roomid
1101	11	SP16	GRY001
1102	11	SP16	GRY002
1103	9	SP16	GRY003
1104	10	SP16	GRY101
1105	9	SP16	GRY102
1106	10	SP16	GRY103
1107	11	SP16	GRY001
1108	10	SP16	GRY002
1109	8	SP16	GRY003
1110	8	SP16	GRY101
1111	9	SP16	GRY102
1112	11	SP16	GRY103
1113	11	SP16	GRY001
2201	1	SP16	HUF001
2202	1	SP16	HUF002
2203	1	SP16	HUF003
2204	1	SP16	HUF101
2205	2	SP16	HUF102
2206	2	SP16	HUF103
2207	1	SP16	HUF001
2208	3	SP16	HUF002
2209	2	SP16	HUF003
2210	2	SP16	HUF101
2211	3	SP16	HUF102
2212	3	SP16	HUF103
2213	1	SP16	HUF001
3301	6	SP16	RAV001
3302	5	SP16	RAV002
3303	4	SP16	RAV003
3304	7	SP16	RAV101
3305	4	SP16	RAV102
3306	7	SP16	RAV103
3307	5	SP16	RAV001
3308	5	SP16	RAV002
3309	6	SP16	RAV003
3310	5	SP16	RAV101
3311	6	SP16	RAV102
3312	5	SP16	RAV103
4401	12	SP16	SLY001
4402	13	SP16	SLY002
4403	12	SP16	SLY003
4404	15	SP16	SLY101
4405	14	SP16	SLY102
4406	12	SP16	SLY103
4407	12	SP16	SLY001
4408	15	SP16	SLY002
4409	15	SP16	SLY003
4410	15	SP16	SLY101
4411	15	SP16	SLY102
1101	8	SU16	GRY001
1102	8	SU16	GRY002
1103	10	SU16	GRY003
1104	11	SU16	GRY101
1105	11	SU16	GRY102
1106	8	SU16	GRY103
1107	9	SU16	GRY001
1108	11	SU16	GRY002
1109	9	SU16	GRY003
1110	8	SU16	GRY101
1111	11	SU16	GRY102
1112	8	SU16	GRY103
1113	8	SU16	GRY001
2201	1	SU16	HUF001
2202	3	SU16	HUF002
2203	1	SU16	HUF003
2204	2	SU16	HUF101
2205	1	SU16	HUF102
2206	2	SU16	HUF103
2207	3	SU16	HUF001
2208	1	SU16	HUF002
2209	1	SU16	HUF003
2210	2	SU16	HUF101
2211	3	SU16	HUF102
2212	2	SU16	HUF103
2213	2	SU16	HUF001
3301	6	SU16	RAV001
3302	5	SU16	RAV002
3303	4	SU16	RAV003
3304	5	SU16	RAV101
3305	7	SU16	RAV102
3306	7	SU16	RAV103
3307	5	SU16	RAV001
3308	7	SU16	RAV002
3309	7	SU16	RAV003
3310	5	SU16	RAV101
3311	5	SU16	RAV102
3312	4	SU16	RAV103
4401	13	SU16	SLY001
4402	12	SU16	SLY002
4403	13	SU16	SLY003
4404	15	SU16	SLY101
4405	12	SU16	SLY102
4406	13	SU16	SLY103
4407	12	SU16	SLY001
4408	14	SU16	SLY002
4409	14	SU16	SLY003
4410	12	SU16	SLY101
4411	13	SU16	SLY102
1101	9	FA16	GRY001
1102	11	FA16	GRY002
1103	8	FA16	GRY003
1104	8	FA16	GRY101
1105	11	FA16	GRY102
1106	9	FA16	GRY103
1107	10	FA16	GRY001
1108	9	FA16	GRY002
1109	10	FA16	GRY003
1110	11	FA16	GRY101
1111	8	FA16	GRY102
1112	11	FA16	GRY103
1113	10	FA16	GRY001
2201	2	FA16	HUF001
2202	1	FA16	HUF002
2203	2	FA16	HUF003
2204	3	FA16	HUF101
2205	3	FA16	HUF102
2206	1	FA16	HUF103
2207	1	FA16	HUF001
2208	1	FA16	HUF002
2209	1	FA16	HUF003
2210	2	FA16	HUF101
2211	1	FA16	HUF102
2212	1	FA16	HUF103
2213	3	FA16	HUF001
3301	6	FA16	RAV001
3302	5	FA16	RAV002
3303	7	FA16	RAV003
3304	5	FA16	RAV101
3305	7	FA16	RAV102
3306	6	FA16	RAV103
3307	6	FA16	RAV001
3308	7	FA16	RAV002
3309	6	FA16	RAV003
3310	7	FA16	RAV101
3311	6	FA16	RAV102
3312	5	FA16	RAV103
4401	13	FA16	SLY001
4402	15	FA16	SLY002
4403	15	FA16	SLY003
4404	15	FA16	SLY101
4405	14	FA16	SLY102
4406	12	FA16	SLY103
4407	15	FA16	SLY001
4408	14	FA16	SLY002
4409	13	FA16	SLY003
4410	15	FA16	SLY101
4411	14	FA16	SLY102
1101	10	SP17	GRY001
1102	8	SP17	GRY002
1103	8	SP17	GRY003
1104	9	SP17	GRY101
1105	9	SP17	GRY102
1106	8	SP17	GRY103
1107	11	SP17	GRY001
1108	10	SP17	GRY002
1109	9	SP17	GRY003
1110	8	SP17	GRY101
1111	10	SP17	GRY102
1112	10	SP17	GRY103
1113	11	SP17	GRY001
2201	2	SP17	HUF001
2202	2	SP17	HUF002
2203	3	SP17	HUF003
2204	3	SP17	HUF101
2205	1	SP17	HUF102
2206	3	SP17	HUF103
2207	2	SP17	HUF001
2208	2	SP17	HUF002
2209	3	SP17	HUF003
2210	1	SP17	HUF101
2211	3	SP17	HUF102
2212	2	SP17	HUF103
2213	2	SP17	HUF001
3301	7	SP17	RAV001
3302	5	SP17	RAV002
3303	7	SP17	RAV003
3304	5	SP17	RAV101
3305	6	SP17	RAV102
3306	4	SP17	RAV103
3307	4	SP17	RAV001
3308	7	SP17	RAV002
3309	4	SP17	RAV003
3310	6	SP17	RAV101
3311	4	SP17	RAV102
3312	4	SP17	RAV103
4401	12	SP17	SLY001
4402	15	SP17	SLY002
4403	13	SP17	SLY003
4404	13	SP17	SLY101
4405	14	SP17	SLY102
4406	15	SP17	SLY103
4407	14	SP17	SLY001
4408	15	SP17	SLY002
4409	15	SP17	SLY003
4410	14	SP17	SLY101
4411	15	SP17	SLY102
