sectionid	start_time	end_time	dayofweek	coursenum	semestercode
1101	7:00:00	10:00:00	MWF	BUS-A 201	SU16
1102	7:00:00	10:00:00	MWF	BUS-A 202	SU16
1103	7:00:00	10:00:00	MW	BUS-A 311	FA16
1104	7:00:00	10:00:00	MW	BUS-A 324	SP16
1105	7:00:00	10:00:00	TR	BUS-A 327	SP16
1106	15:00:00	18:00:00	TR	BUS-A 329	SP16
1107	15:00:00	18:00:00	TRF	BUS-A 424	FA16
1108	15:00:00	18:00:00	TRF	BUS-A 440	FA16
1109	11:00:00	14:00:00	MTW	BUS-A 201	FA16
1110	11:00:00	14:00:00	MTW	BUS-A 202	SP17
1111	11:00:00	14:00:00	MTW	BUS-A 311	SP17
1112	11:00:00	14:00:00	TR	BUS-A 324	SP17
1113	11:00:00	14:00:00	TR	BUS-A 327	SP17
2201	7:00:00	10:00:00	TR	INFO-I 210	SU16
2202	7:00:00	10:00:00	TR	INFO-I 202	SU16
2203	7:00:00	10:00:00	TR	INFO-I 300	FA16
2204	7:00:00	10:00:00	TR	INFO-I 308	FA16
2205	7:00:00	10:00:00	MWF	INFO-I 303	SP17
2206	15:00:00	18:00:00	MWF	INFO-I 310	SP16
2207	15:00:00	18:00:00	MWF	INFO-I 423	FA16
2208	15:00:00	18:00:00	MW	INFO-I 453	FA16
2209	11:00:00	14:00:00	MWR	INFO-I 210	FA16
2210	11:00:00	14:00:00	MWR	INFO-I 202	SP17
2211	11:00:00	14:00:00	MWF	INFO-I 300	SP17
2212	11:00:00	14:00:00	TR	INFO-I 308	SP17
2213	11:00:00	14:00:00	TR	INFO-I 303	SU16
3301	7:00:00	10:00:00	MW	SPEA-V 220	SU16
3302	7:00:00	10:00:00	TR	SPEA-V 221 	SU16
3303	7:00:00	10:00:00	MW	SPEA-K 300	SP16
3304	7:00:00	10:00:00	TR	SPEA-V 340	SP16
3305	7:00:00	10:00:00	MW	SPEA-V 348	SP16
3306	15:00:00	18:00:00	TR	SPEA-V 435	FA16
3307	15:00:00	18:00:00	MW	SPEA-V 437	FA16
3308	11:00:00	14:00:00	TR	SPEA-V 220	FA16
3309	11:00:00	14:00:00	MW	SPEA-V 221 	FA16
3310	11:00:00	14:00:00	TR	SPEA-K 300	SP17
3311	11:00:00	14:00:00	MW	SPEA-V 340	SP17
3312	11:00:00	14:00:00	TR	SPEA-V 348	SP17
4401	7:00:00	10:00:00	MW	EDUC-E 201	SU16
4402	7:00:00	10:00:00	TR	EDUC-E 210	SU16
4403	7:00:00	10:00:00	MW	EDUC-E 300	FA16
4404	7:00:00	10:00:00	TR	EDUC-E 310	SP16
4405	7:00:00	10:00:00	MW	EDUC-E 350	SP17
4406	15:00:00	18:00:00	TR	EDUC-E 354	SP16
4407	15:00:00	18:00:00	MW	EDUC-E 425	FA16
4408	11:00:00	14:00:00	TR	EDUC-E 201	FA16
4409	11:00:00	14:00:00	MW	EDUC-E 210	FA16
4410	11:00:00	14:00:00	TR	EDUC-E 300	SP17
4411	11:00:00	14:00:00	MW	EDUC-E 310	SP17
